step,hour,txn_type,amount,name_orig,old_balance_orig,new_balance_orig,name_dest,old_balance_dest,new_balance_dest,balance_diff_orig,balance_diff_dest,amount_to_balance_ratio,dest_balance_zeroed,night_txn_flag,weekend_flag,round_amount_flag,is_fraud
187,19,DEBIT,18673.34,C6096102,66570.82,47897.48,C4358827,5989.08,24662.42,18673.34,18673.34,0.2805,0,0,0,0,0
272,8,DEBIT,2525.0,C9945284,87036.05,84511.05,C5113213,46188.88,48713.88,2525.0,2525.0,0.029,0,0,0,0,0
363,3,DEBIT,167.01,C7977176,3017.12,2850.11,C9847117,16154.97,16321.98,167.01,167.01,0.0554,0,1,0,0,0
224,8,CASH_IN,9158.72,C6193038,106972.72,116131.44,C6540484,92601.81,101760.53,-9158.72,9158.72,0.0856,0,0,0,0,0
77,5,CASH_IN,1338.41,C4462512,14519.57,15857.98,C8860682,48581.23,49919.64,-1338.41,1338.41,0.0922,0,1,0,0,0
422,14,TRANSFER,48665.37,C1981216,11783.21,0.0,C6862712,5573.04,54238.41,11783.21,48665.37,4.1301,0,0,0,0,0
478,22,DEBIT,8417.31,C3083453,6978.11,0.0,C3331460,11073.86,19491.17,6978.11,8417.31,1.2062,0,1,1,0,0
354,18,CASH_OUT,30679.19,C4374696,2359.83,0.0,C6460694,885.62,31564.81,2359.83,30679.19,13.0006,0,0,0,0,0
425,17,DEBIT,8865.57,C6309219,5855.6,0.0,C4591281,4678.46,13544.03,5855.6,8865.57,1.514,0,0,0,0,0
235,19,DEBIT,551.05,C4430790,12999.12,12448.07,C1679259,21160.2,21711.25,551.05,551.05,0.0424,0,0,0,0,0
266,2,TRANSFER,37566.15,C9483236,68588.39,31022.24,C6355687,947.83,38513.98,37566.15,37566.15,0.5477,0,1,0,0,0
432,0,CASH_IN,4843.27,C2879630,7883.14,12726.41,C6555392,6711.24,11554.51,-4843.27,4843.27,0.6144,0,1,0,0,0
237,21,CASH_IN,32000.43,C4960769,35983.46,67983.89,C8789059,6600.55,38600.98,-32000.43,32000.43,0.8893,0,0,0,0,0
378,18,CASH_OUT,6204.02,C9276901,94227.34,88023.32,C3372250,8174.75,14378.77,6204.02,6204.02,0.0658,0,0,0,0,0
