step,hour,txn_type,amount,name_orig,old_balance_orig,new_balance_orig,name_dest,old_balance_dest,new_balance_dest,balance_diff_orig,balance_diff_dest,amount_to_balance_ratio,dest_balance_zeroed,night_txn_flag,weekend_flag,round_amount_flag,is_fraud,txn_type_enc,log_amount,log_old_bal_orig,error_balance_orig,error_balance_dest,surp_orig_zeroed,high_amount_flag,balance_drain_pct,is_transfer_cashout,fraud_score,fraud_tier,ml_alert
187,19,DEBIT,18673.34,C6096102,66570.82,47897.48,C4358827,5989.08,24662.42,18673.34,18673.34,0.2805,0,0,0,0,0,2,9.834905668011036,11.10603664386351,7.275957614183426e-12,0.0,0,0,0.2804991661637011,0,0.0,Low,0
272,8,DEBIT,2525.0,C9945284,87036.05,84511.05,C5113213,46188.88,48713.88,2525.0,2525.0,0.029,0,0,0,0,0,2,7.8343923029104365,11.374089169052171,0.0,0.0,0,0,0.02901063397713962,0,0.0,Low,0
363,3,DEBIT,167.01,C7977176,3017.12,2850.11,C9847117,16154.97,16321.98,167.01,167.01,0.0554,0,1,0,0,0,2,5.124023501441311,8.012389399968741,-4.547473508864641e-13,0.0,0,0,0.055335771937497516,0,0.0,Low,0
224,8,CASH_IN,9158.72,C6193038,106972.72,116131.44,C6540484,92601.81,101760.53,-9158.72,9158.72,0.0856,0,0,0,0,0,0,9.122570889515385,11.580338475800952,-18317.440000000002,0.0,0,0,0.08561654208155049,0,0.0,Low,0
77,5,CASH_IN,1338.41,C4462512,14519.57,15857.98,C8860682,48581.23,49919.64,-1338.41,1338.41,0.0922,0,1,0,0,0,0,7.199984497477645,9.58332154380663,-2676.8199999999997,7.275957614183426e-12,0,0,0.09217337886873588,0,0.0,Low,0
422,14,TRANSFER,48665.37,C1981216,11783.21,0.0,C6862712,5573.04,54238.41,11783.21,48665.37,4.1301,0,0,0,0,0,4,10.792743516113372,9.374515778757608,-36882.16,0.0,1,0,4.129710010259492,1,0.0,Low,0
478,22,DEBIT,8417.31,C3083453,6978.11,0.0,C3331460,11073.86,19491.17,6978.11,8417.31,1.2062,0,1,1,0,0,2,9.03816437450183,8.850676680463366,-1439.1999999999998,0.0,1,0,1.206072120943788,0,0.0,Low,0
354,18,CASH_OUT,30679.19,C4374696,2359.83,0.0,C6460694,885.62,31564.81,2359.83,30679.19,13.0006,0,0,0,0,0,1,10.331372448421599,7.766768531104749,-28319.36,-3.637978807091713e-12,1,0,12.995086473824884,1,0.0,Low,0
425,17,DEBIT,8865.57,C6309219,5855.6,0.0,C4591281,4678.46,13544.03,5855.6,8865.57,1.514,0,0,0,0,0,2,9.090043303786612,8.675324509408975,-3009.9699999999993,-1.8189894035458565e-12,1,0,1.51377420346276,0,0.0,Low,0
235,19,DEBIT,551.05,C4430790,12999.12,12448.07,C1679259,21160.2,21711.25,551.05,551.05,0.0424,0,0,0,0,0,2,6.313638621885146,9.4727138671703,1.8189894035458565e-12,0.0,0,0,0.042388070263966786,0,0.0,Low,0
